2023-03-10 10:04:25.998986 [INFO   ] [APP] application started
2023-03-10 10:04:25.999024 [INFO   ] [APP] loading configuration from 'autotrader.json'
2023-03-10 10:04:26.003681 [INFO   ] [CON] connecting to: 127.0.0.1:12345
2023-03-10 10:04:26.003994 [INFO   ] [CON] connected successfully to: 127.0.0.1:12345
2023-03-10 10:04:26.004028 [INFO   ] [BASE] logging in with teamname='TraderOne' and secret='secret'
2023-03-10 10:04:26.008513 [DEBUG  ] [CON] 'Exec' sent 103 bytes
2023-03-10 10:04:30.515394 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:30.515426 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:30.515453 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 1000; bid prices: 146900; bid volumes: 13000
2023-03-10 10:04:30.515566 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-10 10:04:30.515604 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:30.515613 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:30.515626 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 0; ask volumes: 0; bid prices: 0; bid volumes: 0
2023-03-10 10:04:30.515637 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-10 10:04:30.517129 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:30.517143 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:30.517196 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-10 10:04:30.517203 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-10 10:04:30.747018 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:30.747074 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:30.747086 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9400; bid prices: 146900; bid volumes: 5000
2023-03-10 10:04:30.747093 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:30.747096 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:30.747099 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 146900; bid volumes: 10
2023-03-10 10:04:31.056864 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:31.056907 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:31.056916 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 9400; bid prices: 146900; bid volumes: 1000
2023-03-10 10:04:31.056925 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:31.056928 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:31.056955 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 146900; bid volumes: 10
2023-03-10 10:04:31.259094 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:31.259139 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:31.259148 [INFO   ] [AUTO] order book received for Future instrument: ask prices: 147100; ask volumes: 10; bid prices: 147000; bid volumes: 2000
2023-03-10 10:04:31.259259 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-10 10:04:31.259281 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-10 10:04:31.259284 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-10 10:04:31.259288 [INFO   ] [AUTO] order book received for ETF instrument: ask prices: 147100; ask volumes: 10; bid prices: 146900; bid volumes: 10
2023-03-10 10:04:31.259294 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-10 10:04:31.259765 [DEBUG  ] [CON] 'Exec' received 19 bytes
